date,group,catch_kg,year,month,year_month
01/03/20,Tuna/Bonito/Other Mackerel,4700.6483,2020,Mar,01/03/20
01/04/20,Long tom,0,2020,Apr,01/04/20
01/04/20,Jacks/Trevally/Other Scad,180.7412927,2020,Apr,01/04/20
01/04/20,Fusilier,0,2020,Apr,01/04/20
01/04/20,Sardines/pilchards,545.6865909,2020,Apr,01/04/20
01/04/20,Flying fish,51.50999822,2020,Apr,01/04/20
01/04/20,Garfish,0,2020,Apr,01/04/20
01/04/20,Jobfish,0,2020,Apr,01/04/20
01/04/20,Moonfish,0,2020,Apr,01/04/20
01/04/20,Other,2816.509868,2020,Apr,01/04/20
01/04/20,Short bodied mackerel,0,2020,Apr,01/04/20
01/04/20,Mackerel scad,10042.73104,2020,Apr,01/04/20
01/04/20,Snapper/seaperch,2849.182033,2020,Apr,01/04/20
01/04/20,Tuna/Bonito/Other Mackerel,9.695579464,2020,Apr,01/04/20
01/05/20,Long tom,0,2020,May,01/05/20
01/05/20,Jacks/Trevally/Other Scad,0,2020,May,01/05/20
01/05/20,Fusilier,0,2020,May,01/05/20
01/05/20,Sardines/pilchards,6504.560924,2020,May,01/05/20
01/05/20,Flying fish,0,2020,May,01/05/20
01/05/20,Garfish,4.944460719,2020,May,01/05/20
01/05/20,Jobfish,0,2020,May,01/05/20
01/05/20,Moonfish,0,2020,May,01/05/20
01/05/20,Other,0,2020,May,01/05/20
01/05/20,Short bodied mackerel,0,2020,May,01/05/20
01/05/20,Mackerel scad,6267.26867,2020,May,01/05/20
01/05/20,Snapper/seaperch,0,2020,May,01/05/20
01/05/20,Tuna/Bonito/Other Mackerel,0,2020,May,01/05/20
01/06/20,Long tom,4.115850339,2020,Jun,01/06/20
01/06/20,Jacks/Trevally/Other Scad,42.97125391,2020,Jun,01/06/20
01/06/20,Fusilier,0,2020,Jun,01/06/20
01/06/20,Sardines/pilchards,945.3285853,2020,Jun,01/06/20
01/06/20,Flying fish,0,2020,Jun,01/06/20
01/06/20,Garfish,3.687375078,2020,Jun,01/06/20
01/06/20,Jobfish,4.002698776,2020,Jun,01/06/20
01/06/20,Moonfish,0,2020,Jun,01/06/20
01/06/20,Other,134.6554472,2020,Jun,01/06/20
01/06/20,Short bodied mackerel,0,2020,Jun,01/06/20
01/06/20,Mackerel scad,9023.053588,2020,Jun,01/06/20
01/06/20,Snapper/seaperch,0,2020,Jun,01/06/20
01/06/20,Tuna/Bonito/Other Mackerel,0,2020,Jun,01/06/20
01/07/20,Long tom,0,2020,Jul,01/07/20
01/07/20,Jacks/Trevally/Other Scad,4.043002887,2020,Jul,01/07/20
01/07/20,Fusilier,0,2020,Jul,01/07/20
01/07/20,Sardines/pilchards,1384.409214,2020,Jul,01/07/20
01/07/20,Flying fish,0,2020,Jul,01/07/20
01/07/20,Garfish,0,2020,Jul,01/07/20
01/07/20,Jobfish,0,2020,Jul,01/07/20
01/07/20,Moonfish,0,2020,Jul,01/07/20
01/07/20,Other,82.21096656,2020,Jul,01/07/20
01/07/20,Short bodied mackerel,0,2020,Jul,01/07/20
01/07/20,Mackerel scad,6626.056893,2020,Jul,01/07/20
01/07/20,Snapper/seaperch,349.5858577,2020,Jul,01/07/20
01/07/20,Tuna/Bonito/Other Mackerel,24.35626684,2020,Jul,01/07/20
01/08/20,Long tom,1.73517306,2020,Aug,01/08/20
01/08/20,Jacks/Trevally/Other Scad,9.244728514,2020,Aug,01/08/20
01/08/20,Fusilier,0,2020,Aug,01/08/20
01/08/20,Sardines/pilchards,551.2610173,2020,Aug,01/08/20
01/08/20,Flying fish,0,2020,Aug,01/08/20
01/08/20,Garfish,0,2020,Aug,01/08/20
01/08/20,Jobfish,15.51350929,2020,Aug,01/08/20
01/08/20,Moonfish,0,2020,Aug,01/08/20
01/08/20,Other,2729.494843,2020,Aug,01/08/20
01/08/20,Short bodied mackerel,0,2020,Aug,01/08/20
01/08/20,Mackerel scad,6139.047331,2020,Aug,01/08/20
01/08/20,Snapper/seaperch,383.8590364,2020,Aug,01/08/20
01/08/20,Tuna/Bonito/Other Mackerel,0,2020,Aug,01/08/20
01/09/20,Long tom,0,2020,Sep,01/09/20
01/09/20,Jacks/Trevally/Other Scad,622.0811992,2020,Sep,01/09/20
01/09/20,Fusilier,0,2020,Sep,01/09/20
01/09/20,Sardines/pilchards,710.2381567,2020,Sep,01/09/20
01/09/20,Flying fish,0,2020,Sep,01/09/20
01/09/20,Garfish,0,2020,Sep,01/09/20
01/09/20,Jobfish,20.81730565,2020,Sep,01/09/20
01/09/20,Moonfish,0,2020,Sep,01/09/20
01/09/20,Other,58.22845052,2020,Sep,01/09/20
01/09/20,Short bodied mackerel,3123.365166,2020,Sep,01/09/20
01/09/20,Mackerel scad,2928.843437,2020,Sep,01/09/20
01/09/20,Snapper/seaperch,429.8349381,2020,Sep,01/09/20
01/09/20,Tuna/Bonito/Other Mackerel,20.19078364,2020,Sep,01/09/20
01/10/20,Long tom,0,2020,Oct,01/10/20
01/10/20,Jacks/Trevally/Other Scad,1755.632237,2020,Oct,01/10/20
01/10/20,Fusilier,0,2020,Oct,01/10/20
01/10/20,Sardines/pilchards,721.6819612,2020,Oct,01/10/20
01/10/20,Flying fish,0,2020,Oct,01/10/20
01/10/20,Garfish,0,2020,Oct,01/10/20
01/10/20,Jobfish,104.7986666,2020,Oct,01/10/20
01/10/20,Moonfish,1.665531225,2020,Oct,01/10/20
01/10/20,Other,381.5918776,2020,Oct,01/10/20
01/10/20,Short bodied mackerel,6672.775604,2020,Oct,01/10/20
01/10/20,Mackerel scad,2358.455356,2020,Oct,01/10/20
01/10/20,Snapper/seaperch,1935.234013,2020,Oct,01/10/20
01/10/20,Tuna/Bonito/Other Mackerel,164.920018,2020,Oct,01/10/20
01/11/20,Long tom,0,2020,Nov,01/11/20
01/11/20,Jacks/Trevally/Other Scad,2069.038512,2020,Nov,01/11/20
01/11/20,Fusilier,0,2020,Nov,01/11/20
01/11/20,Sardines/pilchards,1183.500681,2020,Nov,01/11/20
01/11/20,Flying fish,0,2020,Nov,01/11/20
01/11/20,Garfish,0,2020,Nov,01/11/20
01/11/20,Jobfish,147.0532441,2020,Nov,01/11/20
01/11/20,Moonfish,0,2020,Nov,01/11/20
01/11/20,Other,1855.029981,2020,Nov,01/11/20
01/11/20,Short bodied mackerel,3204.678807,2020,Nov,01/11/20
01/11/20,Mackerel scad,3079.011965,2020,Nov,01/11/20
01/11/20,Snapper/seaperch,2928.124516,2020,Nov,01/11/20
01/11/20,Tuna/Bonito/Other Mackerel,34.47266301,2020,Nov,01/11/20
01/12/20,Long tom,0,2020,Dec,01/12/20
01/12/20,Jacks/Trevally/Other Scad,336.8582021,2020,Dec,01/12/20
01/12/20,Fusilier,37.63382047,2020,Dec,01/12/20
01/12/20,Sardines/pilchards,5697.571697,2020,Dec,01/12/20
01/12/20,Flying fish,285.702263,2020,Dec,01/12/20
01/12/20,Garfish,2163.859118,2020,Dec,01/12/20
01/12/20,Jobfish,399.2915044,2020,Dec,01/12/20
01/12/20,Moonfish,0,2020,Dec,01/12/20
01/12/20,Other,189.9194729,2020,Dec,01/12/20
01/12/20,Short bodied mackerel,397.8510398,2020,Dec,01/12/20
01/12/20,Mackerel scad,1728.111747,2020,Dec,01/12/20
01/12/20,Snapper/seaperch,860.8645076,2020,Dec,01/12/20
01/12/20,Tuna/Bonito/Other Mackerel,596.2114708,2020,Dec,01/12/20
01/01/21,Long tom,0,2021,Jan,01/01/21
01/01/21,Jacks/Trevally/Other Scad,1094.596001,2021,Jan,01/01/21
01/01/21,Fusilier,0,2021,Jan,01/01/21
01/01/21,Sardines/pilchards,4433.779364,2021,Jan,01/01/21
01/01/21,Flying fish,523.5525164,2021,Jan,01/01/21
01/01/21,Garfish,0,2021,Jan,01/01/21
01/01/21,Jobfish,577.2523761,2021,Jan,01/01/21
01/01/21,Moonfish,0,2021,Jan,01/01/21
01/01/21,Other,906.6943252,2021,Jan,01/01/21
01/01/21,Short bodied mackerel,1435.20296,2021,Jan,01/01/21
01/01/21,Mackerel scad,34.70157829,2021,Jan,01/01/21
01/01/21,Snapper/seaperch,511.593624,2021,Jan,01/01/21
01/01/21,Tuna/Bonito/Other Mackerel,159.8019242,2021,Jan,01/01/21
01/02/21,Long tom,0,2021,Feb,01/02/21
01/02/21,Jacks/Trevally/Other Scad,19.44383195,2021,Feb,01/02/21
01/02/21,Fusilier,0,2021,Feb,01/02/21
01/02/21,Sardines/pilchards,13866.34335,2021,Feb,01/02/21
01/02/21,Flying fish,157.535212,2021,Feb,01/02/21
01/02/21,Garfish,0,2021,Feb,01/02/21
01/02/21,Jobfish,12.81389146,2021,Feb,01/02/21
01/02/21,Moonfish,0,2021,Feb,01/02/21
01/02/21,Other,66.50174169,2021,Feb,01/02/21
01/02/21,Short bodied mackerel,0,2021,Feb,01/02/21
01/02/21,Mackerel scad,100.0329846,2021,Feb,01/02/21
01/02/21,Snapper/seaperch,1144.413633,2021,Feb,01/02/21
01/02/21,Tuna/Bonito/Other Mackerel,122.3394698,2021,Feb,01/02/21
01/03/21,Long tom,0,2021,Mar,01/03/21
01/03/21,Jacks/Trevally/Other Scad,132.5193237,2021,Mar,01/03/21
01/03/21,Fusilier,0,2021,Mar,01/03/21
01/03/21,Sardines/pilchards,2534.897432,2021,Mar,01/03/21
01/03/21,Flying fish,353.2614166,2021,Mar,01/03/21
01/03/21,Garfish,0,2021,Mar,01/03/21
01/03/21,Jobfish,647.9569484,2021,Mar,01/03/21
01/03/21,Moonfish,0,2021,Mar,01/03/21
01/03/21,Other,566.7322046,2021,Mar,01/03/21
01/03/21,Short bodied mackerel,729.1092339,2021,Mar,01/03/21
01/03/21,Mackerel scad,5290.958973,2021,Mar,01/03/21
01/03/21,Snapper/seaperch,245.6973648,2021,Mar,01/03/21
01/03/21,Tuna/Bonito/Other Mackerel,96.67533448,2021,Mar,01/03/21
01/04/21,Long tom,0,2021,Apr,01/04/21
01/04/21,Jacks/Trevally/Other Scad,317.8056564,2021,Apr,01/04/21
01/04/21,Fusilier,0,2021,Apr,01/04/21
01/04/21,Sardines/pilchards,2315.094847,2021,Apr,01/04/21
01/04/21,Flying fish,0,2021,Apr,01/04/21
01/04/21,Garfish,0,2021,Apr,01/04/21
01/04/21,Jobfish,38.81040034,2021,Apr,01/04/21
01/04/21,Moonfish,0,2021,Apr,01/04/21
01/04/21,Other,2399.54454,2021,Apr,01/04/21
01/04/21,Short bodied mackerel,603.9469247,2021,Apr,01/04/21
01/04/21,Mackerel scad,249.2711394,2021,Apr,01/04/21
01/04/21,Snapper/seaperch,1112.678501,2021,Apr,01/04/21
01/04/21,Tuna/Bonito/Other Mackerel,395.4862734,2021,Apr,01/04/21
01/05/21,Long tom,0,2021,May,01/05/21
01/05/21,Jacks/Trevally/Other Scad,759.9699813,2021,May,01/05/21
01/05/21,Fusilier,0,2021,May,01/05/21
01/05/21,Sardines/pilchards,2366.793003,2021,May,01/05/21
01/05/21,Flying fish,0,2021,May,01/05/21
01/05/21,Garfish,0,2021,May,01/05/21
01/05/21,Jobfish,9.905328581,2021,May,01/05/21
01/05/21,Moonfish,0,2021,May,01/05/21
01/05/21,Other,293.4870326,2021,May,01/05/21
01/05/21,Short bodied mackerel,1813.473984,2021,May,01/05/21
01/05/21,Mackerel scad,33.37115768,2021,May,01/05/21
01/05/21,Snapper/seaperch,120.8731492,2021,May,01/05/21
01/05/21,Tuna/Bonito/Other Mackerel,109.6305029,2021,May,01/05/21
01/06/21,Long tom,0,2021,Jun,01/06/21
01/06/21,Jacks/Trevally/Other Scad,1029.189428,2021,Jun,01/06/21
01/06/21,Fusilier,0,2021,Jun,01/06/21
01/06/21,Sardines/pilchards,1705.208968,2021,Jun,01/06/21
01/06/21,Flying fish,0,2021,Jun,01/06/21
01/06/21,Garfish,0,2021,Jun,01/06/21
01/06/21,Jobfish,254.0983572,2021,Jun,01/06/21
01/06/21,Moonfish,0,2021,Jun,01/06/21
01/06/21,Other,107.1281221,2021,Jun,01/06/21
01/06/21,Short bodied mackerel,3383.50299,2021,Jun,01/06/21
01/06/21,Mackerel scad,52.40121508,2021,Jun,01/06/21
01/06/21,Snapper/seaperch,574.3668219,2021,Jun,01/06/21
01/06/21,Tuna/Bonito/Other Mackerel,132.6708406,2021,Jun,01/06/21
01/07/21,Long tom,0,2021,Jul,01/07/21
01/07/21,Jacks/Trevally/Other Scad,256.8028832,2021,Jul,01/07/21
01/07/21,Fusilier,0,2021,Jul,01/07/21
01/07/21,Sardines/pilchards,1516.761309,2021,Jul,01/07/21
01/07/21,Flying fish,0,2021,Jul,01/07/21
01/07/21,Garfish,0,2021,Jul,01/07/21
01/07/21,Jobfish,37.36790901,2021,Jul,01/07/21
01/07/21,Moonfish,0,2021,Jul,01/07/21
01/07/21,Other,2091.852858,2021,Jul,01/07/21
01/07/21,Short bodied mackerel,2276.811716,2021,Jul,01/07/21
01/07/21,Mackerel scad,876.2352681,2021,Jul,01/07/21
01/07/21,Snapper/seaperch,2284.817172,2021,Jul,01/07/21
01/07/21,Tuna/Bonito/Other Mackerel,330.8163455,2021,Jul,01/07/21
01/08/21,Long tom,0,2021,Aug,01/08/21
01/08/21,Jacks/Trevally/Other Scad,221.4127676,2021,Aug,01/08/21
01/08/21,Fusilier,0,2021,Aug,01/08/21
01/08/21,Sardines/pilchards,592.8209803,2021,Aug,01/08/21
01/08/21,Flying fish,0,2021,Aug,01/08/21
01/08/21,Garfish,0,2021,Aug,01/08/21
01/08/21,Jobfish,109.5330027,2021,Aug,01/08/21
01/08/21,Moonfish,0,2021,Aug,01/08/21
01/08/21,Other,2987.295155,2021,Aug,01/08/21
01/08/21,Short bodied mackerel,1532.910102,2021,Aug,01/08/21
01/08/21,Mackerel scad,489.1985914,2021,Aug,01/08/21
01/08/21,Snapper/seaperch,2671.514793,2021,Aug,01/08/21
01/08/21,Tuna/Bonito/Other Mackerel,0,2021,Aug,01/08/21
01/09/21,Long tom,0,2021,Sep,01/09/21
01/09/21,Jacks/Trevally/Other Scad,906.8561328,2021,Sep,01/09/21
01/09/21,Fusilier,0,2021,Sep,01/09/21
01/09/21,Sardines/pilchards,2148.493199,2021,Sep,01/09/21
01/09/21,Flying fish,0,2021,Sep,01/09/21
01/09/21,Garfish,0,2021,Sep,01/09/21
01/09/21,Jobfish,0,2021,Sep,01/09/21
01/09/21,Moonfish,2.776062729,2021,Sep,01/09/21
01/09/21,Other,4208.702474,2021,Sep,01/09/21
01/09/21,Short bodied mackerel,1563.235013,2021,Sep,01/09/21
01/09/21,Mackerel scad,223.5322022,2021,Sep,01/09/21
01/09/21,Snapper/seaperch,6089.669929,2021,Sep,01/09/21
01/09/21,Tuna/Bonito/Other Mackerel,79.04664193,2021,Sep,01/09/21
01/10/21,Long tom,0,2021,Oct,01/10/21
01/10/21,Jacks/Trevally/Other Scad,487.8856212,2021,Oct,01/10/21
01/10/21,Fusilier,0,2021,Oct,01/10/21
01/10/21,Sardines/pilchards,3090.635024,2021,Oct,01/10/21
01/10/21,Flying fish,0,2021,Oct,01/10/21
01/10/21,Garfish,0,2021,Oct,01/10/21
01/10/21,Jobfish,57.16032298,2021,Oct,01/10/21
01/10/21,Moonfish,195.5187922,2021,Oct,01/10/21
01/10/21,Other,1734.728,2021,Oct,01/10/21
01/10/21,Short bodied mackerel,4526.975606,2021,Oct,01/10/21
